Country,PredictedGoldTotal,PredictedGoldTotalFloor
USA,44.355,44
CHN,38.022,38
GBR,22.559,22
JPN,18.987,18
AUS,16.418,16
FRA,14.277,14
GER,13.441,13
NED,12.131,12
KOR,10.463,10
CAN,9.332,9
ITA,8.082,8
NZL,7.324,7
UZB,6.126,6
HUN,5.083,5
KEN,4.346,4
NOR,4.261,4
CUB,3.998,3
BRA,3.956,3
ESP,3.571,3
ROC,2.819,2
BUL,2.701,2
IRI,2.645,2
GEO,2.408,2
IRL,2.38,2
SWE,2.329,2
CZE,2.234,2
UKR,2.125,2
BRN,2.124,2
SUI,2.087,2
JAM,2.025,2
CRO,1.975,1
KAZ,1.887,1
SLO,1.877,1
ISR,1.856,1
BEL,1.854,1
GRE,1.83,1
CHI,1.82,1
SRB,1.819,1
DEN,1.808,1
INA,1.761,1
FIN,1.721,1
RUS,1.568,1
FRG,1.565,1
AUT,1.527,1
ROU,1.493,1
ECU,1.313,1
IND,1.277,1
HKG,1.251,1
BAH,1.232,1
EGY,1.171,1
PAK,1.167,1
SVK,1.115,1
IOA,1.109,1
ALG,1.101,1
DMA,1.098,1
DOM,1.098,1
POL,1.083,1
PHI,1.051,1
BOT,1.044,1
ARG,1.04,1
TPE,0.996,0
RSA,0.986,0
POR,0.985,0
JOR,0.957,0
GDR,0.957,0
NGR,0.956,0
BLR,0.955,0
COL,0.951,0
AZE,0.916,0
GUA,0.88,0
BER,0.88,0
TUN,0.859,0
BDI,0.827,0
KOS,0.802,0
AIN,0.792,0
ETH,0.792,0
ARM,0.791,0
QAT,0.763,0
LAT,0.755,0
PRK,0.75,0
SCG,0.741,0
SGP,0.741,0
TUR,0.739,0
CMR,0.727,0
CRC,0.727,0
CIV,0.727,0
MAR,0.688,0
ANZ,0.657,0
GRN,0.652,0
HAI,0.652,0
SUR,0.645,0
PUR,0.629,0
PAN,0.628,0
PER,0.628,0
UGA,0.618,0
EST,0.608,0
LCA,0.601,0
FIJ,0.578,0
THA,0.559,0
UAE,0.479,0
VEN,0.475,0
TJK,0.463,0
TTO,0.463,0
SYR,0.46,0
TCH,0.46,0
EUN,0.432,0
MOZ,0.416,0
MGL,0.416,0
LTU,0.416,0
LUX,0.416,0
MEX,0.416,0
URS,0.225,0
URU,0.225,0
VIE,0.14,0
YUG,0.048,0
ZIM,0.048,0
