Country,Predicted_Percentage
USA,23.56359942559047
AUS,13.450926078998716
HUN,8.687887650832563
CHN,7.716560967064233
GBR,6.368041740585954
FRA,5.649825391545125
CAN,3.675767354859201
GER,3.653858535645117
ITA,3.1840962354361997
RSA,2.5501531122104795
NED,2.175032667043024
AUT,2.1584913076495584
GRE,1.6213530914200247
ROU,1.6137308442370737
TUN,1.471085448452614
SWE,1.289910699274153
RUS,1.2463322092633855
UKR,1.2435795546289592
ROC,1.220146794425783
EUN,0.9566282678678907
ZIM,0.7388424246340615
ESP,0.6892126176457996
IRL,0.6394395909773902
SGP,0.5297745730034474
KAZ,0.5297745730034474
LTU,0.46726596327937964
GDR,0.4665172759275105
NZL,0.4262930606493065
KOR,0.3937460879605107
BRA,0.3937460879605107
POL,0.34509633668034156
FRG,0.2178344150003274
BEL,0.21314653032465325
CRC,0.21314653032465325
SUR,0.1038664948726595
BUL,0.1038664948726595
URS,0.028620944931585606
ANZ,0.002802620921236373
VIE,0.0
POR,0.0
TTO,0.0
PHI,0.0
PUR,0.0
PER,0.0
PAN,0.0
PAK,0.0
NOR,0.0
NGR,0.0
YUG,0.0
PRK,0.0
URU,0.0
QAT,0.0
VEN,0.0
TPE,0.0
TJK,0.0
THA,0.0
TCH,0.0
SYR,0.0
TUR,0.0
SVK,0.0
SUI,0.0
SRB,0.0
MGL,0.0
SLO,0.0
UAE,0.0
SCG,0.0
UGA,0.0
UZB,0.0
MOZ,0.0
ALG,0.0
MEX,0.0
EGY,0.0
DOM,0.0
DMA,0.0
DEN,0.0
CZE,0.0
CUB,0.0
CRO,0.0
COL,0.0
CMR,0.0
CIV,0.0
CHI,0.0
BRN,0.0
BOT,0.0
BLR,0.0
BER,0.0
BDI,0.0
BAH,0.0
AZE,0.0
ARM,0.0
ARG,0.0
ECU,0.0
EST,0.0
MAR,0.0
ETH,0.0
LUX,0.0
LCA,0.0
LAT,0.0
KOS,0.0
KEN,0.0
JPN,0.0
JAM,0.0
ISR,0.0
IRI,0.0
IOA,0.0
IND,0.0
INA,0.0
HKG,0.0
HAI,0.0
GUA,0.0
GRN,0.0
GEO,0.0
FIN,0.0
FIJ,0.0
JOR,0.0
